Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
300308 CH Equity,ZHONGJI INNOLI-A,2.53B,71.16,25.87,94.75,44.16%,Information Technology,770.03B,1.41%,39.01%,6.55%,165.41%,77.89,657.14
300502 CH Equity,EOPTOLINK TECH-A,2.22B,64.68,33.53,143.54,69.59%,Information Technology,487.06B,1.55%,61.72%,9.55%,206.29%,41.54,469.65
300394 CH Equity,SUZHOU TFC OPT-A,1.84B,133.59,48.98,184.77,42.53%,Information Technology,269.69B,0.75%,40.39%,1.76%,49.56%,119.28,314.14
688256 CH Equity,CAMBRICON-A,1.55B,243.97,42.68,--,23.86%,Information Technology,505.18B,0.41%,22.85%,3.10%,47.10%,-3.94,607.81
700 HK Equity,TENCENT,1.50B,17.91,3.51,--,21.13%,Communication Services,4.64T,5.58%,12.94%,32.75%,21.01%,-21.95,61.65
300750 CH Equity,CONTEMPORARY A-A,1.46B,24.28,5.28,19.37,24.72%,Industrials,1.81T,4.12%,12.06%,60.07%,65.11%,2.1,205.28
300274 CH Equity,SUNGROW POWER -A,1.38B,19.05,5.51,18.08,32.24%,Industrials,256.66B,5.25%,17.76%,45.62%,-58.82%,-14.97,76.2
603986 CH Equity,GIGADEVICE SEM-A,1.35B,101.37,8.8,124.32,9.28%,Information Technology,177.44B,0.99%,8.46%,1.55%,57.34%,16.5,157.93
300476 CH Equity,VICTORY GIANT -A,1.30B,55.78,14.56,--,33.76%,Information Technology,242.59B,1.79%,20.56%,59.15%,169.86%,4.46,223.52
601138 CH Equity,FOXCONN INDUST-A,1.25B,31.02,6.55,--,22.09%,Information Technology,1.09T,3.22%,15.46%,65.93%,46.55%,-16.72,39.91
002475 CH Equity,LUXSHARE PRECI-A,1.13B,25.26,5,48.71,21.82%,Information Technology,401.38B,3.96%,6.20%,98.09%,43.28%,-9.1,27.88
000617 CH Equity,CNPC CAPITAL C-A,947.77M,30.53,1.25,--,4.16%,Financials,131.35B,3.28%,0.61%,436.92%,10.56%,-5.86,3.12
002384 CH Equity,SUZHOU DONGSHA-A,928.29M,188.51,11.34,1.57k,6.19%,Information Technology,241.59B,0.53%,3.55%,82.19%,-17.32%,92.08,120.28
001309 CH Equity,SHENZHEN TECHW-A,922.54M,134.12,28.21,--,23.94%,Information Technology,92.23B,0.75%,12.07%,175.30%,104.55%,105.56,366.33
002463 CH Equity,WUS PRINTED-A,837.22M,43.19,10.93,--,28.36%,Information Technology,165.19B,2.32%,20.43%,36.36%,29.92%,17.98,62.47
1810 HK Equity,XIAOMI CORP-W,823.76M,16.85,2.67,16.91,18.31%,Information Technology,813.30B,5.93%,14.77%,13.56%,-28.17%,-39.75,-12.09
002460 CH Equity,GANFENG LITHIU-A,817.19M,105.06,3.74,--,3.71%,Materials,163.34B,0.95%,1.16%,73.97%,39.18%,26.72,53.54
600522 CH Equity,ZHONGTIAN TECH-A,807.09M,37.38,2.93,31.94,8.02%,Industrials,107.17B,2.67%,5.18%,29.28%,11.43%,68.91,16.96
300548 CH Equity,EVERPROX TECHN-A,800.57M,201.13,34.41,123.26,18.02%,Information Technology,67.60B,0.50%,19.11%,18.05%,197.15%,128.88,191.35
600105 CH Equity,JIANGSU ETERN-A,797.19M,151.98,15.35,--,10.84%,Information Technology,50.64B,0.66%,-0.76%,104.29%,-59.23%,134.44,33.16
300620 CH Equity,ADVANCED FIBER-A,743.80M,325.97,26.53,560.29,8.63%,Information Technology,57.59B,0.31%,6.01%,43.73%,540.75%,115.29,195.92
883 HK Equity,CNOOC-H,743.44M,9.05,1.38,11.12,15.75%,Energy,1.32T,11.05%,14.23%,8.67%,-5.98%,41.36,12.24
002428 CH Equity,YUNNAN LINCANG-A,714.25M,864.04,24.95,--,2.89%,Materials,36.31B,0.12%,3.79%,71.21%,421.87%,95.33,37.68
688313 CH Equity,HENAN SHIJIA P-A,710.27M,147.31,32.76,--,24.84%,Information Technology,48.35B,0.68%,19.09%,41.93%,183.18%,57.95,91.45
601872 CH Equity,CHINA MERCHANT-A,691.61M,26.43,3.71,491.57,14.48%,Energy,159.47B,3.78%,9.14%,64.88%,24.28%,129.73,13.51
300475 CH Equity,SHANNON SEMICO-A,675.68M,264.54,20.22,1.03k,8.18%,Information Technology,68.59B,0.38%,5.91%,137.49%,-1.89%,46.1,124.04
603259 CH Equity,WUXI APPTEC CO-A,665.09M,17.45,3.97,47.06,27.69%,Health Care,320.01B,5.73%,19.14%,10.49%,-35.41%,1.4,56.65
3690 HK Equity,MEITUAN-W,621.01M,--,2.84,--,-14.43%,Consumer Discretionary,543.35B,-5.29%,-10.13%,57.37%,-89.79%,-13.47,-57.7
688041 CH Equity,HYGON INFORMAT-A,619.41M,192.56,22.41,--,12.31%,Information Technology,527.62B,0.52%,12.74%,13.87%,36.36%,-5.97,90.79
688008 CH Equity,MONTAGE TECHNO-A,612.83M,71.24,12.35,89.42,18.38%,Information Technology,172.42B,1.40%,15.01%,0.27%,51.11%,-7.12,74.48
9992 HK Equity,POP MART INTERNA,607.31M,13.86,8.01,20.9,77.52%,Consumer Discretionary,204.78B,7.21%,66.81%,12.63%,260.00%,-41.18,8.2
300456 CH Equity,SAI MICROELECT-A,604.83M,--,5.86,--,25.28%,Information Technology,39.47B,-0.86%,-9.96%,19.70%,-75.62%,124.58,37.57
002222 CH Equity,CASTECH INC - A,581.96M,142.94,21.97,518.28,16.18%,Information Technology,38.41B,0.70%,14.64%,11.63%,53.75%,65.54,54.42
300059 CH Equity,EAST MONEY INF-A,579.00M,24.77,3.26,--,14.00%,Financials,299.49B,4.04%,5.05%,133.07%,-16.84%,-27.37,-0.67
600111 CH Equity,CHINA NORTHERN-A,558.49M,87.5,7.84,421.38,9.36%,Materials,187.26B,1.14%,7.97%,31.59%,60.57%,-1.3,26.88
002371 CH Equity,NAURA TECH GR -A,555.00M,54.24,9.5,--,19.33%,Information Technology,342.73B,1.84%,13.12%,42.05%,28.14%,7.98,143.56
600089 CH Equity,TBEA CO LTD-A,535.03M,25.21,1.95,--,7.98%,Industrials,135.06B,3.97%,3.07%,74.97%,32.22%,36.17,15.94
300014 CH Equity,EVE ENERGY-A,530.95M,32.26,3.19,--,10.35%,Industrials,136.55B,3.10%,4.95%,84.99%,43.70%,-19,29.5
000977 CH Equity,IEIT SYSTEMS-A,523.51M,38.63,4.55,--,12.41%,Information Technology,95.55B,2.59%,5.71%,124.91%,18.28%,-6.59,20.42
600010 CH Equity,INNER MONGOLIA-A,519.60M,128.37,2.49,--,1.96%,Materials,129.98B,0.78%,1.84%,86.16%,239.68%,12.99,1.07
600989 CH Equity,NINGXIA BAOFEN-A,519.16M,19.13,4.49,23.55,24.84%,Materials,217.29B,5.23%,16.30%,63.54%,37.78%,62.62,15.78
600519 CH Equity,KWEICHOW MOUTA-A,512.19M,20.36,7.11,22.27,36.39%,Consumer Staples,1.83T,4.91%,34.16%,5.55%,1.20%,3.87,-41.91
688205 CH Equity,WUXI TACLINK O-A,509.32M,530.12,16.87,--,3.14%,Information Technology,38.46B,0.19%,2.16%,5.79%,-46.30%,133.02,199.19
300442 CH Equity,RANGE INTELLIG-A,491.81M,25.95,8.88,--,42.18%,Information Technology,142.66B,3.85%,6.66%,110.75%,43.83%,73.71,35.35
600875 CH Equity,DONGFANG ELECT-A,478.77M,29.32,2.6,--,9.12%,Industrials,130.71B,3.41%,4.73%,55.46%,-2.71%,84.27,25.47
981 HK Equity,SEMICONDUCTOR-H,478.58M,92.34,2.65,--,3.26%,Information Technology,563.00B,1.08%,2.24%,35.97%,234.05%,-28.18,14.75
600276 CH Equity,JIANGSU HENGRU-A,473.40M,47.87,6.13,45.02,14.44%,Health Care,378.35B,2.09%,14.15%,0.12%,20.36%,-16.48,8.81
002709 CH Equity,GUANGZHOU TINC-A,468.62M,62.86,4.96,172.57,8.80%,Materials,89.47B,1.59%,7.33%,17.39%,369.02%,24.41,30.27
688048 CH Equity,SUZHOU EVERBRI-A,467.09M,--,13.42,--,-0.51%,Information Technology,40.55B,-0.04%,-1.41%,3.05%,52.59%,234.72,188.82
000938 CH Equity,UNISPLENDOUR C-A,452.01M,55.41,5.34,21.92,9.97%,Information Technology,77.28B,1.80%,4.19%,224.60%,55.95%,-7.75,1.54
688498 CH Equity,YUANJIE SEMICO-A,451.07M,505.87,41.44,--,8.67%,Information Technology,96.96B,0.20%,7.60%,3.77%,44.56%,193.03,1.12k
1211 HK Equity,BYD COMPANY,450.71M,24.78,3.56,--,16.25%,Consumer Discretionary,992.16B,4.04%,9.49%,56.71%,-50.32%,-5.91,-9.12
688012 CH Equity,ADVANCED MICRO-A,449.00M,94.97,8.84,105.17,9.95%,Information Technology,201.18B,1.05%,7.05%,3.32%,17.18%,9.66,134.67
603083 CH Equity,CIG SHANGHAI C-A,445.23M,117.52,5.47,--,5.40%,Information Technology,41.04B,0.85%,4.77%,31.39%,-56.28%,5.91,85.36
600183 CH Equity,SHENGYI TECH C-A,441.77M,50.7,9.26,275.23,18.80%,Information Technology,143.80B,1.97%,14.54%,39.48%,136.96%,5.11,39.97
002015 CH Equity,GCL ENERGY TEC-A,434.49M,42.67,2.23,--,5.36%,Utilities,28.26B,2.34%,3.45%,120.12%,10.99%,48.42,10.59
000063 CH Equity,ZTE CORP-A,417.22M,17.8,1.33,158.14,7.58%,Information Technology,159.06B,5.62%,3.29%,106.52%,94.63%,-31.62,4.86
600759 CH Equity,GEO-JADE PETRO-A,409.68M,54.18,2.57,--,4.87%,Energy,22.61B,1.85%,3.97%,10.78%,-28.12%,133.91,3.25
300418 CH Equity,KUNLUN TECH CO-A,408.60M,--,4.51,--,-11.30%,Communication Services,63.35B,-2.63%,-11.27%,8.09%,65.48%,8.84,19.93
603799 CH Equity,ZHEJIANG HUAYO-A,408.57M,16.87,2.28,--,14.34%,Industrials,112.86B,5.93%,7.28%,112.59%,94.61%,-8.25,31.94
000792 CH Equity,QINGHAI SALT-A,401.41M,23.2,4.4,23.04,20.79%,Materials,197.90B,4.31%,19.91%,2.33%,173.66%,70.08,20.66
600309 CH Equity,WANHUA CHEMIC-A,391.97M,24.76,2.61,--,11.19%,Materials,274.20B,4.04%,5.38%,146.81%,6.24%,29.32,29.41
002050 CH Equity,ZHEJIANG SANHU-A,391.54M,42.54,5.8,109.61,15.92%,Industrials,176.17B,2.35%,12.01%,26.05%,-12.88%,-3.65,21
002916 CH Equity,SHENNAN CIRCUI-A,391.48M,49.45,9.45,--,20.62%,Information Technology,165.52B,2.02%,15.63%,30.55%,145.27%,12.09,182.16
300166 CH Equity,BUSINESS INTEL-A,391.31M,--,3.12,--,-1.52%,Information Technology,18.25B,-0.47%,-1.20%,45.34%,99.93%,43.38,6.35
002466 CH Equity,TIANQI LITHIUM-A,386.64M,207.12,2.23,--,1.09%,Materials,95.03B,0.48%,3.80%,29.51%,98.17%,20.99,32.08
300782 CH Equity,MAXSCEND MICRO-A,377.69M,--,5.21,--,-1.92%,Information Technology,52.17B,-0.37%,-1.05%,27.64%,-83.93%,21.96,24.86
002149 CH Equity,WESTERN METAL -A,360.15M,255,7.8,439.81,3.04%,Materials,22.75B,0.39%,1.96%,60.24%,-64.51%,159.6,26.05
002506 CH Equity,GCL SYSTEM INT-A,356.70M,--,14.47,51.37,-26.78%,Information Technology,25.74B,-2.21%,-9.52%,420.00%,8.51%,71.87,2.25
002192 CH Equity,YOUNGY CO LTD-A,355.78M,68.04,5.37,255.96,8.09%,Materials,18.97B,1.47%,5.54%,5.39%,409.26%,83.91,46.45
175 HK Equity,GEELY AUTOMOBILE,355.64M,12.75,2.51,--,18.81%,Consumer Discretionary,263.30B,7.85%,11.97%,46.68%,60.69%,27.98,10.5
601012 CH Equity,LONGI GREEN EN-A,352.08M,--,2.23,--,-9.18%,Information Technology,128.22B,-4.31%,-6.40%,67.45%,33.15%,-8.04,2.09
301205 CH Equity,LINKTEL TECHNO-A,350.39M,286.47,20.32,--,7.34%,Information Technology,32.23B,0.35%,5.08%,42.86%,55.13%,143.76,186.74
2899 HK Equity,ZIJIN MINING-H,348.07M,16.31,4.56,20.64,31.83%,Materials,1.02T,6.13%,15.89%,67.27%,101.93%,8.32,21.81
2318 HK Equity,PING AN,347.69M,7.08,0.98,1.13,13.97%,Financials,1.18T,14.12%,6.30%,200.01%,52.31%,15.49,24.46
603019 CH Equity,DAWNING INFORM-A,346.25M,57.65,5.78,76.05,10.47%,Information Technology,121.88B,1.73%,6.50%,2.59%,15.92%,-26.46,20.47
601975 CH Equity,CSC NANJING-A,342.88M,18.09,2,20.24,11.68%,Energy,23.31B,5.53%,10.13%,5.91%,39.30%,58.6,1.98
603881 CH Equity,SHANGHAI ATHUB-A,342.66M,193.48,8.49,40.02,4.52%,Information Technology,28.02B,0.52%,3.21%,90.22%,-24.57%,11.89,14.97
600030 CH Equity,CITIC SECURITI-A,335.93M,12.69,1.27,2.34,10.67%,Financials,351.39B,7.88%,2.72%,267.67%,100.32%,-17.79,1.27
300033 CH Equity,HITHINK ROYALF-A,333.88M,36.94,12.46,32.49,36.70%,Financials,165.62B,2.71%,34.29%,0.00%,70.88%,-15.87,40.44
600330 CH Equity,TDG HOLDING-A,331.56M,1.12k,2.99,--,0.27%,Information Technology,24.30B,0.09%,-0.01%,21.53%,-86.23%,86.73,12.64
1024 HK Equity,KUAISHOU-W,330.77M,8.57,1.78,--,26.30%,Communication Services,195.99B,11.67%,20.40%,28.91%,96.92%,-46.34,-2.89
600150 CH Equity,CHINA CSSC HOL-A,328.46M,22.33,1.72,30.87,7.55%,Industrials,242.55B,4.48%,4.60%,29.23%,251.87%,-7.78,3.66
600176 CH Equity,CHINA JUSHI CO-A,324.23M,34.09,3.57,109.38,10.75%,Materials,112.09B,2.93%,8.23%,45.98%,-13.21%,64.15,18.01
600893 CH Equity,AECC AVIATION-A,323.32M,208.19,3.29,--,1.58%,Industrials,132.05B,0.48%,1.07%,90.80%,91.29%,17.67,17.24
1299 HK Equity,AIA,319.14M,19.08,2.74,20.08,14.89%,Financials,929.98B,5.24%,13.54%,46.22%,14.38%,19.76,41.01
601398 CH Equity,IND & COMM BK-A,318.89M,7.24,0.68,--,9.51%,Financials,2.50T,13.81%,3.65%,235.32%,29.83%,2.09,0.83
600036 CH Equity,CHINA MERCH BK-A,315.62M,6.88,0.9,--,13.44%,Financials,1.01T,14.53%,6.55%,115.03%,-6.04%,0.27,0.9
939 HK Equity,CCB-H,313.11M,5.72,0.56,--,10.07%,Financials,2.26T,17.48%,4.30%,227.73%,4.63%,18.13,2.75
300433 CH Equity,LENS TECHNOLOG-A,308.85M,37.51,2.82,--,7.75%,Information Technology,153.02B,2.67%,6.29%,18.92%,-17.69%,-6.68,11.73
000807 CH Equity,YUNNAN ALUM-A,308.43M,20.37,3.85,15.82,20.06%,Materials,123.32B,4.91%,18.89%,10.79%,140.44%,71.88,20.78
688158 CH Equity,UCLOUD TECHNOL-A,305.10M,--,8.75,--,-3.06%,Information Technology,21.05B,-0.35%,-7.69%,11.61%,95.71%,84.04,23.64
002001 CH Equity,ZHEJIANG NHU-A,303.64M,15.73,3.5,18.85,24.14%,Materials,113.41B,6.36%,17.78%,26.84%,-4.09%,50.07,17.17
002028 CH Equity,SIEYUAN ELECTR-A,294.19M,57.52,10.95,134.81,20.97%,Industrials,157.77B,1.74%,17.69%,17.95%,47.70%,83.19,138.64
002245 CH Equity,JIANGSU AZURE -A,289.53M,29.92,2.91,24,10.17%,Industrials,21.54B,3.34%,7.75%,26.10%,55.24%,-0.95,7.16
600869 CH Equity,FAR EAST SMART-A,289.52M,--,8.3,111.56,-1.17%,Industrials,35.47B,-0.14%,2.17%,172.60%,-51.41%,87.34,11.33
388 HK Equity,HKEX,288.29M,29,8.9,--,31.70%,Financials,517.53B,3.45%,27.87%,2.13%,12.90%,-6.73,113.68
301217 CH Equity,ANHUI TONGGUAN-A,287.71M,3.41k,6.57,--,0.12%,Materials,35.69B,0.03%,0.56%,22.71%,-7.09k%,44.99,33.1
688270 CH Equity,GREAT MICROWAV-A,285.87M,309.49,14.24,865.53,4.80%,Information Technology,31.76B,0.32%,4.64%,0.05%,661.51%,119.08,108.39
301171 CH Equity,EASY CLICK WOR-A,283.07M,136.95,5.86,86.61,4.35%,Communication Services,21.77B,0.73%,1.44%,15.99%,-21.32%,38.82,23.45
300661 CH Equity,SG MICRO CORP-A,282.34M,90.06,9.34,208.77,11.05%,Information Technology,49.45B,1.11%,9.89%,7.84%,-7.47%,-1.34,2.87
600900 CH Equity,CHINA YANGTZE-A,282.08M,19.77,2.92,14.73,15.14%,Utilities,645.72B,5.06%,7.11%,123.91%,-8.34%,-4.07,-1.9
600821 CH Equity,NYOCOR CO LTD-A,281.53M,25.87,1.65,--,6.48%,Utilities,15.92B,3.87%,3.38%,230.42%,-53.58%,38.83,2.67
603296 CH Equity,HUAQIN CO LTD-A,276.92M,24.76,3.9,--,16.77%,Information Technology,100.61B,4.04%,7.44%,117.85%,24.12%,1.49,35.63
603588 CH Equity,BEIJING GEOENV-A,268.61M,23.12,2.74,--,12.46%,Industrials,28.10B,4.33%,7.64%,114.36%,163.01%,123.37,11.74
000333 CH Equity,MIDEA GROUP CO-A,266.19M,13.28,2.6,31.17,19.98%,Consumer Discretionary,580.57B,7.53%,11.35%,40.07%,-21.02%,5.75,9.54
002716 CH Equity,HUNAN SILVE-A,259.93M,100.18,10.12,74.84,9.97%,Materials,34.07B,1.00%,6.11%,38.59%,89.18%,70,8.45
688726 CH Equity,LAPLACE RENEWA-A,259.52M,31.57,5.88,--,21.98%,Information Technology,23.63B,3.17%,17.23%,13.44%,-46.84%,24.04,21.87
600489 CH Equity,ZHONGJIN GOLD-A,255.25M,30.45,4.61,39.29,15.83%,Materials,134.66B,3.28%,12.43%,57.32%,32.29%,17.71,14.26
300113 CH Equity,HANGZHOU SHUNF-A,255.17M,52.2,7.55,58.61,15.54%,Communication Services,19.06B,1.92%,14.19%,3.03%,19.97%,10.72,11.45
300666 CH Equity,KONFOONG MATER-A,254.46M,80.9,8.56,--,11.09%,Information Technology,41.65B,1.24%,4.78%,82.20%,28.41%,57,86.94
601208 CH Equity,SICHUAN EM-A,252.82M,136.7,5.64,--,4.29%,Materials,33.88B,0.73%,3.07%,55.88%,13.03%,72.46,25.7
002714 CH Equity,MUYUAN FOODS C-A,251.16M,15.41,3.08,12.86,20.69%,Consumer Staples,250.00B,6.49%,12.36%,89.42%,-94.02%,-16.21,2.45
600547 CH Equity,SHANDONG GOLD-A,250.38M,44.08,6.15,29.32,12.33%,Materials,179.46B,2.27%,6.37%,110.86%,89.75%,0.52,11.87
300870 CH Equity,SHENZHEN HONOR-A,249.74M,94.66,12.29,122.13,14.09%,Industrials,32.71B,1.06%,8.98%,53.12%,33.22%,44.44,213.4
688110 CH Equity,DOSILICON CO L-A,245.81M,--,16.06,--,-5.75%,Information Technology,50.81B,-0.37%,-4.96%,0.78%,23.56%,20.29,89.74
300438 CH Equity,GUANGZHOU GREA-A,245.05M,--,5.16,--,-3.74%,Industrials,26.87B,-0.74%,-2.12%,116.23%,1.69k%,46.64,34.03
600584 CH Equity,JCET GROUP CO-A,244.60M,48.52,2.66,--,5.56%,Information Technology,74.99B,2.06%,4.06%,40.90%,17.14%,-4.25,11.27
605117 CH Equity,NINGBO DEYE TE-A,243.70M,36.24,11.18,43.7,32.08%,Industrials,115.40B,2.76%,20.22%,58.43%,7.71%,70.04,84.62
600406 CH Equity,NARI TECHNOLOG-A,241.60M,25.7,4.24,15.72,16.77%,Industrials,208.50B,3.89%,15.10%,5.30%,9.37%,10.33,3.71
601127 CH Equity,SERES GROUP CO-A,240.60M,24.2,3.77,5.93,22.40%,Consumer Discretionary,152.22B,4.13%,7.82%,105.36%,-61.14%,-47.07,-35.55
300738 CH Equity,GUANGDONG AOFE-A,239.21M,135.88,6.25,--,4.83%,Information Technology,22.31B,0.74%,3.99%,199.28%,76.21%,8.84,0.27
002038 CH Equity,BEIJING SL -A,238.18M,96.1,1.33,--,1.48%,Health Care,7.58B,1.04%,1.45%,0.33%,-75.19%,2.07,1.16
603256 CH Equity,GRACE FABRIC T-A,236.32M,324.21,42.23,--,10.18%,Materials,68.93B,0.31%,6.83%,58.67%,275.38%,125.38,73.54
301526 CH Equity,CHONGQING POLY-A,234.26M,769.99,5.75,--,0.93%,Materials,47.21B,0.13%,1.12%,109.31%,--,102.59,9.43
300085 CH Equity,SHENZHEN INFO-A,232.75M,--,51.2,--,-22.73%,Information Technology,25.64B,-0.49%,-12.85%,63.17%,55.16%,-27.36,5.4
300303 CH Equity,SHENZHEN JUFEI-A,231.44M,44.34,3.86,146.36,9.29%,Information Technology,14.49B,2.26%,5.87%,34.78%,-9.74%,46.98,4.6
688630 CH Equity,CIRCUIT FABOLO-A,230.00M,111.24,13.98,2.42k,13.27%,Information Technology,32.26B,0.90%,11.37%,10.01%,4.07k%,78.89,182.43
300803 CH Equity,BEIJING COMPAS-A,228.10M,258.02,21.57,21.12,9.05%,Financials,60.16B,0.39%,1.89%,36.20%,-93.85%,-36.02,45.89
603127 CH Equity,JOINN LABORATO-A,223.73M,94.26,3.33,73.73,3.63%,Health Care,25.57B,1.06%,2.78%,0.26%,-71.29%,9.79,20.52
857 HK Equity,PETROCHINA-H,223.63M,10.88,1.08,13.71,10.14%,Energy,2.47T,9.19%,7.73%,20.40%,4.12%,48.14,6.31
603501 CH Equity,OMNIVISION INTEG,223.22M,27.88,4.01,70.89,15.45%,Information Technology,117.61B,3.59%,10.79%,34.76%,-9.77%,-33.32,-27.14
1378 HK Equity,CHINA HONGQIAO,222.39M,14.36,2.57,15.03,18.83%,Materials,389.98B,6.96%,12.78%,52.23%,-31.69%,50.57,27.99
300759 CH Equity,PHARMARON BEIJ-A,221.08M,32.59,3.61,125.47,11.60%,Health Care,51.57B,3.07%,8.10%,44.73%,-44.86%,-7.65,8.84
002648 CH Equity,SATELLITE CHEM-A,220.62M,18.2,2.89,13.41,16.64%,Materials,97.15B,5.49%,10.72%,75.41%,0.45%,46.03,12.99
002938 CH Equity,AVARY HOLDING -A,216.10M,34.41,3.78,232.25,11.28%,Information Technology,128.88B,2.91%,9.43%,12.59%,-19.05%,2.68,30.19
600482 CH Equity,CHINA SHIPBUIL-A,216.07M,44.54,2.06,7.35,4.75%,Industrials,83.38B,2.25%,5.10%,17.91%,-3.46%,61.03,19.59
000065 CH Equity,NORINCO INTL -A,213.08M,22.31,1.57,41.75,7.04%,Industrials,17.41B,4.48%,4.22%,53.32%,-24.22%,33.13,4.67
002179 CH Equity,JONHON OPTRONIC,211.81M,35.82,3.22,--,9.03%,Information Technology,78.09B,2.79%,6.80%,23.59%,-50.29%,-9.72,-5.09
601689 CH Equity,NINGBO TUOPU G-A,210.77M,36.37,4.21,111.55,12.73%,Consumer Discretionary,101.37B,2.75%,8.49%,45.24%,0.06%,-19.88,12.9
603026 CH Equity,SHIDA SHINGHWA-A,210.70M,--,3.67,--,0.36%,Materials,18.02B,-0.04%,0.51%,76.03%,1.03k%,57.58,51.51
600031 CH Equity,SANY HEAVY IND-A,207.83M,20.9,2.15,7.82,10.49%,Industrials,189.10B,4.78%,6.86%,33.42%,18.55%,-8.83,2.33
688516 CH Equity,WUXI AUTOWELL -A,207.32M,44.87,5.9,110.82,12.06%,Information Technology,22.35B,2.23%,5.55%,103.24%,-85.39%,46.3,39.03
002378 CH Equity,CHONGYI ZHANG-A,206.32M,173.64,17.14,119.78,9.91%,Materials,38.39B,0.58%,6.02%,124.28%,108.31%,156.21,25.52
DBS SP Equity,DBS GROUP HLDGS,206.30M,14.85,2.36,--,15.88%,Financials,162.67B,6.73%,4.53%,230.49%,-9.94%,9.21,21.11
002487 CH Equity,DAJIN HEAVY IN-A,204.16M,42.07,5.6,--,14.19%,Industrials,46.36B,2.38%,9.66%,38.22%,-6.69%,45.76,54.63
3988 HK Equity,BANK OF CHINA-H,204.08M,5.6,0.52,--,8.99%,Financials,1.98T,17.87%,3.38%,249.58%,-11.17%,22.92,1.12
002241 CH Equity,GOERTEK INC -A,203.56M,27.95,2.31,--,8.55%,Information Technology,84.00B,3.58%,5.10%,68.76%,16.22%,-33.62,3.99
000762 CH Equity,TIBET MINERAL-A,203.27M,--,5.45,--,-1.02%,Materials,16.04B,-0.19%,-2.31%,40.31%,42.74%,23.25,15.4
002051 CH Equity,CHINA CAMC -A,202.04M,49.13,1.23,28.32,2.48%,Industrials,14.23B,2.04%,1.25%,17.66%,41.42%,36.58,2.86
300827 CH Equity,SINENG ELECTRI-A,199.69M,44.41,7.87,--,19.22%,Industrials,20.95B,2.25%,8.36%,170.83%,-23.71%,19.04,18.61
002230 CH Equity,IFLYTEK CO LTD-A,196.38M,125.16,6.13,222.98,4.88%,Information Technology,109.14B,0.80%,3.15%,62.51%,28.59%,-15.65,3.59
2628 HK Equity,CHINA LIFE-H,196.19M,4.21,1.09,--,27.89%,Financials,1.08T,23.76%,10.06%,74.07%,91.60%,19.31,15.1
300102 CH Equity,XIAMEN CHANGEL-A,196.10M,246.72,6.54,69.74,2.72%,Information Technology,28.81B,0.41%,2.15%,30.43%,-85.95%,158.04,20.58
601888 CH Equity,CHINA TOURISM-A,195.80M,39.17,2.53,68.13,6.49%,Consumer Discretionary,139.64B,2.55%,4.89%,8.29%,180.15%,-0.73,0.23
600219 CH Equity,SHANDONG NANSH-A,195.42M,15.32,1.46,17.97,9.48%,Materials,72.58B,6.53%,8.80%,9.82%,-45.65%,60.21,3.43
301511 CH Equity,JIUJIANG DEFU -A,194.94M,1.08k,6.98,--,0.63%,Industrials,28.36B,0.09%,2.32%,160.65%,--,31.13,31.27
600259 CH Equity,CHINA RARE EAR-A,194.93M,252.12,9.2,40.33,3.72%,Materials,32.12B,0.40%,-0.62%,61.55%,-4.86%,61.93,57.92
300760 CH Equity,SHENZHEN MINDR-A,194.89M,23.29,4.97,23.37,22.00%,Health Care,189.50B,4.29%,19.34%,0.81%,-45.31%,-34.99,-54.32
300672 CH Equity,GOKE MICROELEC-A,194.44M,1.01k,8.56,--,0.85%,Information Technology,34.84B,0.10%,0.30%,66.25%,-87.23%,78.11,103.62
300199 CH Equity,HYBIO PHARMACE-A,190.45M,--,28.29,437.79,-9.95%,Health Care,18.36B,-0.36%,0.88%,289.21%,-188.28%,-1.52,8.93
300953 CH Equity,NINGBO ZHENYU -A,188.76M,60.57,7.37,--,14.19%,Industrials,31.84B,1.65%,6.56%,124.78%,354.83%,5.49,102.01
603619 CH Equity,ZHONGMAN PETRO-A,187.30M,32.11,3.78,129.65,12.44%,Energy,16.46B,3.11%,9.07%,97.51%,-40.74%,81.22,20.76
000630 CH Equity,TONGLING NONFE-A,186.95M,41.7,2.22,--,5.30%,Materials,81.80B,2.40%,3.75%,66.97%,-34.63%,4.81,3.33
000950 CH Equity,CQ PHARMACEUTI-A,186.73M,28.86,0.92,--,3.26%,Health Care,10.71B,3.46%,1.93%,161.27%,63.99%,20.5,1.33
1801 HK Equity,INNOVENT BIOLOGI,186.39M,153.67,6.86,60.21,5.01%,Health Care,152.26B,0.65%,6.08%,14.55%,-173.78%,-6.6,44.45
600158 CH Equity,CHINA SPORTS-A,186.28M,614.7,4.39,44.17,0.71%,Real Estate,11.42B,0.16%,1.74%,6.08%,54.15%,29.63,3.53
600066 CH Equity,YUTONG BUS CO-A,185.34M,14.98,5.33,33.6,38.27%,Industrials,83.20B,6.67%,36.61%,1.49%,43.18%,27.82,14.1
